"COMPANY NAME","SECURITY TYPE","ISSUE PRICE","Symbol","ISSUE START DATE","ISSUE END DATE","PRICE RANGE","DATE OF LISTING"
"Pine Labs Limited","EQ","   221","PINELABS","07-NOV-2025","11-NOV-2025","Rs.210 to Rs.221","14-NOV-2025"
"Curis Lifesciences Limited","SME","128","CURIS","07-NOV-2025","11-NOV-2025","RS.120 to RS.128","14-NOV-2025"
"Finbud Financial Services Limited","SME","142","FINBUD","06-NOV-2025","10-NOV-2025","RS.140 to RS.142","13-NOV-2025"
"Billionbrains Garage Ventures Limited","EQ","   100","GROWW","04-NOV-2025","07-NOV-2025","Rs.95 to Rs.100","12-NOV-2025"
"Shreeji Global FMCG Limited","SME","125","SHETHJI","04-NOV-2025","07-NOV-2025","RS.120 to RS.125","12-NOV-2025"
"Lenskart Solutions Limited","EQ","   402","LENSKART","31-OCT-2025","04-NOV-2025","Rs.382 to Rs.402","10-NOV-2025"
"Studds Accessories Limited","EQ","   585","STUDDS","30-OCT-2025","03-NOV-2025","Rs.557 to Rs.585","07-NOV-2025"
"Orkla India Limited","EQ","   730","ORKLAINDIA","29-OCT-2025","31-OCT-2025","Rs.695 to Rs.730","06-NOV-2025"
"Jayesh Logistics Limited","SME","122","JAYESH","27-OCT-2025","29-OCT-2025","RS.116 to RS.122","03-NOV-2025"
"SMC Global Securities Limited","DEBT","-","SMCG03","16-OCT-2025","24-OCT-2025","Rs.1000","-"
"SMC Global Securities Limited","DEBT","-","SMCG03","16-OCT-2025","24-OCT-2025","Rs.1000","-"
"Midwest Limited","EQ","  1065","MIDWESTLTD","15-OCT-2025","17-OCT-2025","Rs.1014 to Rs.1065","24-OCT-2025"
"Canara HSBC Life Insurance Company Limited","EQ","   106","CANHLIFE","10-OCT-2025","14-OCT-2025","Rs.100 to Rs.106","17-OCT-2025"
"Rubicon Research Limited","EQ","   485","RUBICON","09-OCT-2025","13-OCT-2025","Rs.461 to Rs.485","16-OCT-2025"
"Canara Robeco Asset Management Company Limited","EQ","   266","CRAMC","09-OCT-2025","13-OCT-2025","Rs.253 to Rs.266","16-OCT-2025"
"Anantam Highways Trust","IV","   100","ANANTAM","07-OCT-2025","09-OCT-2025","Rs.98 to Rs.100","16-OCT-2025"
"LG Electronics India Limited","EQ","  1140","LGEINDIA","07-OCT-2025","09-OCT-2025","Rs.1080 to Rs.1140","14-OCT-2025"
"Anantam Highways Trust","IV","   100","ANANTAM","07-OCT-2025","09-OCT-2025","Rs.98 to Rs.100","16-OCT-2025"
"Surat Municipal Corporation","DEBT","   500","SMC01","06-OCT-2025","09-OCT-2025","Rs.1000","14-OCT-2025"
"Tata Capital Limited","N0","######","73TACA30","06-OCT-2025","08-OCT-2025","Rs.310 to Rs.326","18-NOV-2025"
"Surat Municipal Corporation","DEBT","   500","SMC01","06-OCT-2025","09-OCT-2025","Rs.1000","14-OCT-2025"
"Tata Capital Limited","N0","######","73TACA30","06-OCT-2025","08-OCT-2025","Rs.310 to Rs.326","18-NOV-2025"
"WeWork India Management Limited","EQ","   648","WEWORK","03-OCT-2025","07-OCT-2025","Rs.615 to Rs.648","10-OCT-2025"
"Advance Agrolife Limited","BE","   100","ADVANCE","30-SEP-2025","03-OCT-2025","Rs.95 to Rs.100","08-OCT-2025"
"Advance Agrolife Limited","BE","   100","ADVANCE","30-SEP-2025","03-OCT-2025","Rs.95 to Rs.100","08-OCT-2025"
"Greenleaf Envirotech Limited","SME","136","GREENLEAF","30-SEP-2025","06-OCT-2025","RS.136","09-OCT-2025"
